A Ion Radius,X Ion Radius,t,μ,B NumberofProtons,X1 NumberofProtons,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,B FirstIonization,X4 FirstIonization,B AtomicMass,A2 MeltingPoint,B MeltingPoint,X3 MeltingPoint,Ef (eV)
114.0,133.0,0.864630569,0.518796992,50,9,0.228,0.824,0.824,0.824,0.824,0.534,1.53,7.29,7.3439,17.4228,118.71,312.79,505.21,53.63,-0.102759199
121.5,133.0,0.890884534,0.518796992,50,9,0.228,0.824,0.824,0.824,0.824,0.534,1.87,7.29,7.3439,17.4228,118.71,301.7,505.21,53.63,-2.097412477
114.0,181.0,0.834386002,0.38121547,50,17,0.228,0.479,0.479,0.479,0.479,0.534,1.53,7.29,7.3439,12.9676,118.71,312.79,505.21,172.31,-0.512687169
121.5,181.0,0.855599205,0.38121547,50,17,0.228,0.479,0.479,0.479,0.479,0.534,1.87,7.29,7.3439,12.9676,118.71,301.7,505.21,172.31,-1.071718293
114.0,196.0,0.827181518,0.352040816,50,35,0.228,0.474,0.474,0.474,0.474,0.534,1.53,7.29,7.3439,11.8138,118.71,312.79,505.21,266.05,-0.412366646
121.5,196.0,0.847193974,0.352040816,50,35,0.228,0.474,0.474,0.474,0.474,0.534,1.87,7.29,7.3439,11.8138,118.71,301.7,505.21,266.05,0.065203911
114.0,220.0,0.817209913,0.313636364,50,53,0.228,0.214,0.214,0.214,0.214,0.534,1.53,7.29,7.3439,10.4513,118.71,312.79,505.21,386.65,-0.352300392
121.5,220.0,0.835560435,0.313636364,50,53,0.228,0.214,0.214,0.214,0.214,0.534,1.87,7.29,7.3439,10.4513,118.71,301.7,505.21,386.65,-0.248007186
114.0,133.0,0.693076885,0.894736842,82,9,0.129,0.824,0.824,0.824,0.824,0.534,1.53,11.3,7.4167,17.4228,207.2,312.79,600.75,53.63,-0.325159057
121.5,133.0,0.714121729,0.894736842,82,9,0.129,0.824,0.824,0.824,0.824,0.534,1.87,11.3,7.4167,17.4228,207.2,301.7,600.75,53.63,2.756737665
114.0,181.0,0.695321668,0.657458564,82,17,0.129,0.479,0.479,0.479,0.479,0.534,1.53,11.3,7.4167,12.9676,207.2,312.79,600.75,172.31,-1.240395669
121.5,181.0,0.712999338,0.657458564,82,17,0.129,0.479,0.479,0.479,0.479,0.534,1.87,11.3,7.4167,12.9676,207.2,301.7,600.75,172.31,-1.800573793
114.0,196.0,0.695882864,0.607142857,82,35,0.129,0.474,0.474,0.474,0.474,0.534,1.53,11.3,7.4167,11.8138,207.2,312.79,600.75,266.05,-0.60588684
121.5,196.0,0.71271874,0.607142857,82,35,0.129,0.474,0.474,0.474,0.474,0.534,1.87,11.3,7.4167,11.8138,207.2,301.7,600.75,266.05,-0.827772283
114.0,220.0,0.696677478,0.540909091,82,53,0.129,0.214,0.214,0.214,0.214,0.534,1.53,11.3,7.4167,10.4513,207.2,312.79,600.75,386.65,0.021645941
121.5,220.0,0.712321433,0.540909091,82,53,0.129,0.214,0.214,0.214,0.214,0.534,1.87,11.3,7.4167,10.4513,207.2,301.7,600.75,386.65,0.127758147
76.0,160.75,0.783193125,0.32970451,32,9,0.32,0.824,0.824,0.479,0.474,0.534,0.534,5.32,7.8994,11.8138,72.64,453.85,1211.45,172.31,5.286514
76.0,166.75,0.781115682,0.317841079,32,9,0.32,0.824,0.824,0.479,0.214,0.534,0.534,5.32,7.8994,10.4513,72.64,453.85,1211.45,172.31,4.257396
76.0,170.5,0.779873922,0.31085044,32,9,0.32,0.824,0.824,0.474,0.214,0.534,0.534,5.32,7.8994,10.4513,72.64,453.85,1211.45,266.05,5.3318365
76.0,172.75,0.779148668,0.306801737,32,17,0.32,0.479,0.479,0.824,0.474,0.534,0.534,5.32,7.8994,11.8138,72.64,453.85,1211.45,53.63,1.986467789
76.0,178.75,0.777283506,0.296503497,32,17,0.32,0.479,0.479,0.824,0.214,0.534,0.534,5.32,7.8994,10.4513,72.64,453.85,1211.45,53.63,0.887433789
76.0,194.5,0.772817714,0.272493573,32,17,0.32,0.479,0.479,0.474,0.214,0.534,0.534,5.32,7.8994,10.4513,72.64,453.85,1211.45,266.05,1.51965229
76.0,176.5,0.777971513,0.300283286,32,35,0.32,0.474,0.474,0.824,0.479,0.534,0.534,5.32,7.8994,12.9676,72.64,453.85,1211.45,53.63,-0.302199348
76.0,186.25,0.775083609,0.284563758,32,35,0.32,0.474,0.474,0.824,0.214,0.534,0.534,5.32,7.8994,10.4513,72.64,453.85,1211.45,53.63,-0.585551848
76.0,198.25,0.771836954,0.267339218,32,35,0.32,0.474,0.474,0.479,0.214,0.534,0.534,5.32,7.8994,10.4513,72.64,453.85,1211.45,172.31,-0.907493848
76.0,188.5,0.774450284,0.281167109,32,53,0.32,0.214,0.214,0.824,0.479,0.534,0.534,5.32,7.8994,12.9676,72.64,453.85,1211.45,53.63,1.078771971
76.0,192.25,0.773420567,0.275682705,32,53,0.32,0.214,0.214,0.824,0.474,0.534,0.534,5.32,7.8994,11.8138,72.64,453.85,1211.45,53.63,2.199408471
76.0,204.25,0.770327213,0.259485924,32,53,0.32,0.214,0.214,0.479,0.474,0.534,0.534,5.32,7.8994,11.8138,72.64,453.85,1211.45,172.31,1.499295471
76.0,160.75,0.72865084,0.429237947,50,9,0.228,0.824,0.824,0.479,0.474,0.534,0.534,7.29,7.3439,11.8138,118.71,453.85,505.21,172.31,4.680407
76.0,166.75,0.728102529,0.413793103,50,9,0.228,0.824,0.824,0.479,0.214,0.534,0.534,7.29,7.3439,10.4513,118.71,453.85,505.21,172.31,3.663088
76.0,170.5,0.727773785,0.404692082,50,9,0.228,0.824,0.824,0.474,0.214,0.534,0.534,7.29,7.3439,10.4513,118.71,453.85,505.21,266.05,4.7118735
76.0,172.75,0.727581435,0.399421129,50,17,0.228,0.479,0.479,0.824,0.474,0.534,0.534,7.29,7.3439,11.8138,118.71,453.85,505.21,53.63,2.552618
76.0,178.75,0.72708558,0.386013986,50,17,0.228,0.479,0.479,0.824,0.214,0.534,0.534,7.29,7.3439,10.4513,118.71,453.85,505.21,53.63,1.494667
76.0,194.5,0.725891402,0.354755784,50,17,0.228,0.479,0.479,0.474,0.214,0.534,0.534,7.29,7.3439,10.4513,118.71,453.85,505.21,266.05,2.0040265
76.0,176.5,0.727268685,0.390934844,50,35,0.228,0.474,0.474,0.824,0.479,0.534,0.534,7.29,7.3439,12.9676,118.71,453.85,505.21,53.63,1.405508194
76.0,186.25,0.726498544,0.370469799,50,35,0.228,0.474,0.474,0.824,0.214,0.534,0.534,7.29,7.3439,10.4513,118.71,453.85,505.21,53.63,1.206154694
76.0,198.25,0.725627819,0.348045397,50,35,0.228,0.474,0.474,0.479,0.214,0.534,0.534,7.29,7.3439,10.4513,118.71,453.85,505.21,172.31,0.661937694
76.0,188.5,0.726329101,0.366047745,50,53,0.228,0.214,0.214,0.824,0.479,0.534,0.534,7.29,7.3439,12.9676,118.71,453.85,505.21,53.63,1.357723667
76.0,192.25,0.726053183,0.358907672,50,53,0.228,0.214,0.214,0.824,0.474,0.534,0.534,7.29,7.3439,11.8138,118.71,453.85,505.21,53.63,2.266756167
76.0,204.25,0.725221136,0.337821297,50,53,0.228,0.214,0.214,0.479,0.474,0.534,0.534,7.29,7.3439,11.8138,118.71,453.85,505.21,172.31,1.572438167
76.0,160.75,0.598418339,0.740279938,82,9,0.129,0.824,0.824,0.479,0.474,0.534,0.534,11.3,7.4167,11.8138,207.2,453.85,600.75,172.31,4.368975142
76.0,166.75,0.600700511,0.713643178,82,9,0.129,0.824,0.824,0.479,0.214,0.534,0.534,11.3,7.4167,10.4513,207.2,453.85,600.75,172.31,3.351807142
76.0,170.5,0.602078831,0.697947214,82,9,0.129,0.824,0.824,0.474,0.214,0.534,0.534,11.3,7.4167,10.4513,207.2,453.85,600.75,266.05,4.373009642
76.0,172.75,0.602888815,0.688856729,82,17,0.129,0.479,0.479,0.824,0.474,0.534,0.534,11.3,7.4167,11.8138,207.2,453.85,600.75,53.63,1.9920555
76.0,178.75,0.604988925,0.665734266,82,17,0.129,0.479,0.479,0.824,0.214,0.534,0.534,11.3,7.4167,10.4513,207.2,453.85,600.75,53.63,0.9382345
76.0,194.5,0.610119248,0.611825193,82,17,0.129,0.479,0.479,0.474,0.214,0.534,0.534,11.3,7.4167,10.4513,207.2,453.85,600.75,266.05,1.252009
76.0,176.5,0.604211378,0.674220963,82,35,0.129,0.474,0.474,0.824,0.479,0.534,0.534,11.3,7.4167,12.9676,207.2,453.85,600.75,53.63,0.562297
76.0,186.25,0.607497964,0.638926174,82,35,0.129,0.474,0.474,0.824,0.214,0.534,0.534,11.3,7.4167,10.4513,207.2,453.85,600.75,53.63,0.5039105
76.0,198.25,0.611265673,0.600252207,82,35,0.129,0.474,0.474,0.479,0.214,0.534,0.534,11.3,7.4167,10.4513,207.2,453.85,600.75,172.31,-0.2410365
76.0,188.5,0.608226809,0.631299735,82,53,0.129,0.214,0.214,0.824,0.479,0.534,0.534,11.3,7.4167,12.9676,207.2,453.85,600.75,53.63,1.798968
76.0,192.25,0.609418134,0.618985696,82,53,0.129,0.214,0.214,0.824,0.474,0.534,0.534,11.3,7.4167,11.8138,207.2,453.85,600.75,53.63,2.7695085
76.0,204.25,0.613044626,0.582619339,82,53,0.129,0.214,0.214,0.479,0.474,0.534,0.534,11.3,7.4167,11.8138,207.2,453.85,600.75,172.31,1.9918545
102.0,133.0,0.620037663,1.015037594,56,9,0.204,0.824,0.824,0.824,0.824,0.971,0.971,3.59,5.2117,17.4228,137.327,371.15,1002.15,53.63,-0.105337
102.0,133.0,0.802754075,0.556390977,30,9,0.388,0.824,0.824,0.824,0.824,0.971,0.971,7.13,9.3942,17.4228,65.38,371.15,692.88,53.63,-2.604792
102.0,133.0,0.716250403,0.744360902,20,9,0.647,0.824,0.824,0.824,0.824,0.971,0.971,1.54,6.1132,17.4228,40.078,371.15,1112.15,53.63,3.40217
102.0,133.0,0.722478668,0.729323308,48,9,0.232,0.824,0.824,0.824,0.824,0.971,0.971,8.69,8.9938,17.4228,112.411,371.15,594.33,53.63,2.103814
102.0,133.0,0.800819728,0.560150376,27,9,0.421,0.824,0.824,0.824,0.824,0.971,0.971,8.86,7.881,17.4228,58.933,371.15,1768.15,53.63,1.280853
